"","x"
"1820-01-01",269
"1821-01-01",321
"1822-01-01",585
"1823-01-01",871
"1824-01-01",1475
"1825-01-01",2821
"1826-01-01",3928
"1827-01-01",5943
"1828-01-01",4950
"1829-01-01",2577
"1830-01-01",523
"1831-01-01",98
"1832-01-01",184
"1833-01-01",279
"1834-01-01",409
"1835-01-01",2285
"1836-01-01",2685
"1837-01-01",3409
"1838-01-01",1824
"1839-01-01",409
"1840-01-01",151
"1841-01-01",45
"1842-01-01",68
"1843-01-01",213
"1844-01-01",546
"1845-01-01",1033
"1846-01-01",2129
"1847-01-01",2536
"1848-01-01",957
"1849-01-01",361
"1850-01-01",377
"1851-01-01",225
"1852-01-01",360
"1853-01-01",731
"1854-01-01",1638
"1855-01-01",2725
"1856-01-01",2871
"1857-01-01",2119
"1858-01-01",684
"1859-01-01",299
"1860-01-01",236
"1861-01-01",245
"1862-01-01",552
"1863-01-01",1623
"1864-01-01",3311
"1865-01-01",6721
"1866-01-01",4254
"1867-01-01",687
"1868-01-01",255
"1869-01-01",473
"1870-01-01",358
"1871-01-01",784
"1872-01-01",1594
"1873-01-01",1676
"1874-01-01",2251
"1875-01-01",1426
"1876-01-01",756
"1877-01-01",299
"1878-01-01",201
"1879-01-01",229
"1880-01-01",469
"1881-01-01",736
"1882-01-01",2042
"1883-01-01",2811
"1884-01-01",4431
"1885-01-01",2511
"1886-01-01",389
"1887-01-01",73
"1888-01-01",39
"1889-01-01",49
"1890-01-01",59
"1891-01-01",188
"1892-01-01",377
"1893-01-01",1292
"1894-01-01",4031
"1895-01-01",3495
"1896-01-01",587
"1897-01-01",105
"1898-01-01",153
"1899-01-01",387
"1900-01-01",758
"1901-01-01",1307
"1902-01-01",3465
"1903-01-01",6991
"1904-01-01",6313
"1905-01-01",3794
"1906-01-01",1836
"1907-01-01",345
"1908-01-01",382
"1909-01-01",808
"1910-01-01",1388
"1911-01-01",2713
"1912-01-01",3800
"1913-01-01",3091
"1914-01-01",2985
"1915-01-01",3790
"1916-01-01",674
"1917-01-01",81
"1918-01-01",80
"1919-01-01",108
"1920-01-01",229
"1921-01-01",399
"1922-01-01",1132
"1923-01-01",2432
"1924-01-01",3574
"1925-01-01",2935
"1926-01-01",1537
"1927-01-01",529
"1928-01-01",485
"1929-01-01",662
"1930-01-01",1000
"1931-01-01",1590
"1932-01-01",2657
"1933-01-01",3396
